id,longitude,latitude
6649114517,77.1819868,28.6945212
6649114513,77.1817809,28.6946552
918184476,77.1850824,28.6875102
918184491,77.1832938,28.6930561
918184652,77.1830726,28.6910053
918184520,77.1823402,28.6902958
9181694214,77.1827746,28.6900144
918184640,77.1825867,28.6923476
918184602,77.1921521,28.690638
9181694209,77.1834773,28.6906231
918296334,77.1903581,28.6897594
918296823,77.1899829,28.6899116
918296427,77.1900852,28.6892629
918296854,77.1905185,28.6903713
918296338,77.188856,28.6907634
918296595,77.1887532,28.6905636
918296572,77.1889015,28.6908397
918296895,77.1891337,28.6906481
918296347,77.1876986,28.6905301
918296721,77.1870755,28.6907696
918296589,77.1875909,28.6903344
918296756,77.1877178,28.6905651
918296354,77.1845164,28.6954127
918296794,77.185063,28.6957885
918296652,77.1848672,28.6950089
918296720,77.1843033,28.6966757
918296366,77.1874004,28.6899877
9181694216,77.1872114,28.6895799
918296468,77.1879662,28.6897387
918296533,77.1867786,28.6902407
918296367,77.1861781,28.6935072
918296607,77.1860266,28.6930045
918296904,77.1857225,28.6939802
918296603,77.186502,28.6936012
918296369,77.1896723,28.6934348
6649967361,77.1895358,28.693599
10100045344,77.1883904,28.6948642
918296373,77.186027,28.694179
9863261640,77.1862527,28.6939045
918296599,77.1855569,28.6947338
918296594,77.1875234,28.6951562
918296376,77.1891492,28.690266
918296521,77.1893288,28.6905602
918296506,77.1893417,28.6901793
918296817,77.1890509,28.6903103
